,index1,Category
59236,553,318
59237,554,318
59238,555,318
59239,556,318
59240,557,318
59241,558,318
59242,559,318
54962,560,91
54963,561,91
54964,562,91
58835,563,380
58836,564,380
58837,565,380
40122,566,317
58838,567,380
58839,568,380
40123,569,317
40124,570,317
40125,571,317
40126,572,317
40127,573,317
40128,574,317
58840,575,380
29450,576,96
40129,577,317
40130,578,317
40131,579,317
40132,580,317
40133,581,317
40134,582,317
40135,583,317
40136,584,317
40137,585,317
40138,586,317
40139,587,317
40140,588,317
40141,589,317
40142,590,317
40143,591,317
40144,592,317
40145,593,317
40146,594,317
40147,595,317
40148,596,317
40149,597,317
40150,598,317
40151,599,317
40152,600,317
40153,601,317
44467,602,371
47109,603,372
46626,604,316
47110,605,372
47111,606,372
47112,607,372
59303,608,3
59304,609,3
23633,610,374
35844,611,2
46627,612,316
47113,613,372
47114,614,372
46628,615,316
59305,616,3
46629,617,316
46630,618,316
46631,619,316
40154,620,317
40155,621,317
40156,622,317
40157,623,317
40158,624,317
40159,625,317
40160,626,317
40161,627,317
40162,628,317
40163,629,317
47115,630,372
56680,631,71
40164,632,317
40165,633,317
40166,634,317
40167,635,317
40168,636,317
40169,637,317
47116,638,372
47117,639,372
47118,640,372
47119,641,372
47120,642,372
47121,643,372
47122,644,372
23634,645,374
56681,646,71
47123,647,372
23635,648,374
23636,649,374
23637,650,374
23638,651,374
23639,652,374
23640,653,374
47124,654,372
47125,655,372
58528,656,321
54678,657,137
58529,658,321
47126,659,372
47127,660,372
47128,661,372
58530,662,321
58531,663,321
40170,664,317
56682,665,71
59306,666,3
47129,667,372
58532,668,321
58533,669,321
58534,670,321
40171,671,317
40172,672,317
40173,673,317
40174,674,317
40175,675,317
40176,676,317
23641,677,374
40177,678,317
40178,679,317
40179,680,317
40180,681,317
40181,682,317
40182,683,317
40183,684,317
40184,685,317
23642,686,374
47130,687,372
47131,688,372
59307,689,3
36,690,0
46632,691,316
40185,692,317
43197,693,6
40186,694,317
40187,695,317
40188,696,317
40189,697,317
54965,698,91
54966,699,91
54967,700,91
40190,701,317
40191,702,317
40192,703,317
40193,704,317
40194,705,317
40195,706,317
59308,707,3
40196,708,317
40197,709,317
47132,710,372
54582,711,144
47133,712,372
40198,713,317
23643,714,374
60434,715,310
47134,716,372
33956,717,24
47135,718,372
40199,719,317
59309,720,3
40200,721,317
47136,722,372
29451,723,96
37,724,0
43198,725,6
45299,726,376
45300,727,376
38,728,0
60508,729,110
43199,730,6
60509,731,110
42433,732,115
42434,733,115
60510,734,110
43200,735,6
29452,736,96
55839,737,112
55840,738,112
55841,739,112
55842,740,112
29453,741,96
42435,742,115
55843,743,112
58636,744,259
55228,745,111
42436,746,115
42437,747,115
39,748,0
42438,749,115
40,750,0
42439,751,115
55844,752,112
42440,753,115
42441,754,115
41,755,0
23644,756,374
23645,757,374
56214,758,90
42442,759,115
42443,760,115
42444,761,115
29454,762,96
42445,763,115
29455,764,96
29456,765,96
29457,766,96
29458,767,96
60613,768,375
42,769,0
42446,770,115
47137,771,372
29459,772,96
29460,773,96
29461,774,96
29462,775,96
29463,776,96
42447,777,115
42448,778,115
42449,779,115
42450,780,115
42451,781,115
42452,782,115
29464,783,96
29465,784,96
35845,785,2
29466,786,96
56215,787,90
56683,788,71
56684,789,71
29467,790,96
29468,791,96
29469,792,96
29470,793,96
29471,794,96
43,795,0
56685,796,71
29472,797,96
29473,798,96
29474,799,96
29475,800,96
29476,801,96
29477,802,96
29478,803,96
29479,804,96
29480,805,96
29481,806,96
29482,807,96
29483,808,96
29484,809,96
29485,810,96
60773,811,70
60783,812,99
29486,813,96
29487,814,96
29488,815,96
29489,816,96
29490,817,96
29491,818,96
29492,819,96
29493,820,96
29494,821,96
29495,822,96
29496,823,96
29497,824,96
29498,825,96
29499,826,96
29500,827,96
29501,828,96
29502,829,96
29503,830,96
29504,831,96
29505,832,96
29506,833,96
29507,834,96
29508,835,96
29509,836,96
29510,837,96
29511,838,96
29512,839,96
29513,840,96
29514,841,96
29515,842,96
29516,843,96
29517,844,96
29518,845,96
29519,846,96
47138,847,372
29520,848,96
29521,849,96
29522,850,96
29523,851,96
29524,852,96
29525,853,96
29526,854,96
47139,855,372
29527,856,96
29528,857,96
33957,858,24
42453,859,115
29529,860,96
29530,861,96
29531,862,96
29532,863,96
55845,864,112
29533,865,96
42454,866,115
42455,867,115
29534,868,96
29535,869,96
29536,870,96
29537,871,96
29538,872,96
29539,873,96
29540,874,96
29541,875,96
42456,876,115
29542,877,96
29543,878,96
29544,879,96
29545,880,96
29546,881,96
29547,882,96
29548,883,96
29549,884,96
29550,885,96
29551,886,96
29552,887,96
29553,888,96
29554,889,96
29555,890,96
29556,891,96
29557,892,96
29558,893,96
29559,894,96
44,895,0
56686,896,71
60881,897,558
42457,898,115
35846,899,2
56632,900,258
35847,901,2
42458,902,115
47140,903,372
42459,904,115
55229,905,111
42460,906,115
42461,907,115
29560,908,96
45,909,0
43201,910,6
61169,911,101
55846,912,112
60511,913,110
29561,914,96
29562,915,96
55230,916,111
46,917,0
47,918,0
29563,919,96
55847,920,112
61170,921,101
29564,922,96
61171,923,101
29565,924,96
29566,925,96
45301,926,376
55231,927,111
55232,928,111
29567,929,96
29568,930,96
29569,931,96
29570,932,96
56687,933,71
56688,934,71
45302,935,376
29571,936,96
56689,937,71
56690,938,71
56691,939,71
61188,940,309
56216,941,90
48,942,0
29572,943,96
49,944,0
50,945,0
51,946,0
29573,947,96
52,948,0
29574,949,96
29575,950,96
29576,951,96
55233,952,111
53,953,0
54,954,0
55,955,0
56,956,0
55848,957,112
55849,958,112
29577,959,96
29578,960,96
57,961,0
56217,962,90
56218,963,90
56692,964,71
58,965,0
59,966,0
60,967,0
61172,968,101
61173,969,101
61174,970,101
61,971,0
62,972,0
63,973,0
61175,974,101
29579,975,96
29580,976,96
64,977,0
65,978,0
66,979,0
35848,980,2
35849,981,2
56693,982,71
55234,983,111
55235,984,111
55236,985,111
29581,986,96
29582,987,96
29583,988,96
43202,989,6
56694,990,71
67,991,0
61212,992,8
60882,993,558
61213,994,8
29584,995,96
29585,996,96
68,997,0
69,998,0
29586,999,96
29587,1000,96
33958,1001,24
33959,1002,24
33960,1003,24
29588,1004,96
56695,1005,71
56696,1006,71
70,1007,0
71,1008,0
72,1009,0
73,1010,0
74,1011,0
75,1012,0
76,1013,0
29589,1014,96
29590,1015,96
29591,1016,96
29592,1017,96
29593,1018,96
77,1019,0
78,1020,0
79,1021,0
29594,1022,96
29595,1023,96
29596,1024,96
29597,1025,96
29598,1026,96
29599,1027,96
29600,1028,96
29601,1029,96
29602,1030,96
29603,1031,96
80,1032,0
29604,1033,96
81,1034,0
82,1035,0
83,1036,0
29605,1037,96
29606,1038,96
29607,1039,96
56219,1040,90
55237,1041,111
55238,1042,111
61266,1043,348
61267,1044,348
84,1045,0
85,1046,0
61268,1047,348
86,1048,0
61269,1049,348
87,1050,0
88,1051,0
89,1052,0
90,1053,0
91,1054,0
92,1055,0
93,1056,0
94,1057,0
95,1058,0
96,1059,0
97,1060,0
98,1061,0
99,1062,0
100,1063,0
101,1064,0
102,1065,0
103,1066,0
104,1067,0
23646,1068,374
105,1069,0
106,1070,0
107,1071,0
108,1072,0
109,1073,0
110,1074,0
111,1075,0
112,1076,0
113,1077,0
114,1078,0
115,1079,0
116,1080,0
117,1081,0
118,1082,0
119,1083,0
120,1084,0
121,1085,0
122,1086,0
123,1087,0
124,1088,0
125,1089,0
126,1090,0
127,1091,0
128,1092,0
129,1093,0
130,1094,0
131,1095,0
132,1096,0
133,1097,0
134,1098,0
135,1099,0
136,1100,0
137,1101,0
138,1102,0
139,1103,0
140,1104,0
141,1105,0
142,1106,0
143,1107,0
144,1108,0
145,1109,0
146,1110,0
147,1111,0
148,1112,0
149,1113,0
150,1114,0
29608,1115,96
29609,1116,96
151,1117,0
152,1118,0
153,1119,0
154,1120,0
155,1121,0
156,1122,0
157,1123,0
158,1124,0
159,1125,0
160,1126,0
161,1127,0
162,1128,0
163,1129,0
164,1130,0
165,1131,0
29610,1132,96
166,1133,0
167,1134,0
168,1135,0
169,1136,0
29611,1137,96
170,1138,0
171,1139,0
172,1140,0
173,1141,0
174,1142,0
175,1143,0
176,1144,0
177,1145,0
178,1146,0
179,1147,0
180,1148,0
181,1149,0
182,1150,0
183,1151,0
184,1152,0
185,1153,0
29612,1154,96
186,1155,0
187,1156,0
188,1157,0
189,1158,0
190,1159,0
191,1160,0
192,1161,0
61270,1162,348
193,1163,0
194,1164,0
195,1165,0
196,1166,0
197,1167,0
198,1168,0
199,1169,0
23647,1170,374
200,1171,0
201,1172,0
202,1173,0
203,1174,0
204,1175,0
205,1176,0
206,1177,0
207,1178,0
208,1179,0
209,1180,0
29613,1181,96
210,1182,0
211,1183,0
212,1184,0
213,1185,0
214,1186,0
215,1187,0
216,1188,0
217,1189,0
218,1190,0
219,1191,0
220,1192,0
221,1193,0
222,1194,0
223,1195,0
224,1196,0
225,1197,0
226,1198,0
227,1199,0
228,1200,0
229,1201,0
230,1202,0
231,1203,0
232,1204,0
29614,1205,96
233,1206,0
234,1207,0
29615,1208,96
235,1209,0
236,1210,0
237,1211,0
29616,1212,96
29617,1213,96
29618,1214,96
238,1215,0
29619,1216,96
29620,1217,96
29621,1218,96
29622,1219,96
29623,1220,96
29624,1221,96
29625,1222,96
239,1223,0
240,1224,0
29626,1225,96
29627,1226,96
29628,1227,96
29629,1228,96
241,1229,0
242,1230,0
243,1231,0
244,1232,0
245,1233,0
246,1234,0
247,1235,0
248,1236,0
249,1237,0
250,1238,0
251,1239,0
252,1240,0
253,1241,0
254,1242,0
255,1243,0
256,1244,0
257,1245,0
258,1246,0
259,1247,0
29630,1248,96
29631,1249,96
29632,1250,96
260,1251,0
261,1252,0
262,1253,0
263,1254,0
264,1255,0
29633,1256,96
265,1257,0
29634,1258,96
266,1259,0
29635,1260,96
267,1261,0
268,1262,0
269,1263,0
270,1264,0
271,1265,0
272,1266,0
273,1267,0
274,1268,0
275,1269,0
276,1270,0
277,1271,0
278,1272,0
279,1273,0
280,1274,0
281,1275,0
282,1276,0
283,1277,0
284,1278,0
285,1279,0
286,1280,0
287,1281,0
288,1282,0
289,1283,0
290,1284,0
291,1285,0
292,1286,0
293,1287,0
294,1288,0
295,1289,0
296,1290,0
297,1291,0
298,1292,0
29636,1293,96
299,1294,0
29637,1295,96
300,1296,0
301,1297,0
302,1298,0
303,1299,0
304,1300,0
305,1301,0
306,1302,0
307,1303,0
29638,1304,96
308,1305,0
309,1306,0
29639,1307,96
29640,1308,96
29641,1309,96
29642,1310,96
310,1311,0
29643,1312,96
29644,1313,96
29645,1314,96
29646,1315,96
29647,1316,96
29648,1317,96
29649,1318,96
29650,1319,96
29651,1320,96
29652,1321,96
29653,1322,96
311,1323,0
312,1324,0
29654,1325,96
313,1326,0
29655,1327,96
29656,1328,96
29657,1329,96
314,1330,0
29658,1331,96
29659,1332,96
29660,1333,96
29661,1334,96
29662,1335,96
29663,1336,96
315,1337,0
29664,1338,96
316,1339,0
317,1340,0
318,1341,0
319,1342,0
320,1343,0
321,1344,0
322,1345,0
323,1346,0
324,1347,0
325,1348,0
326,1349,0
327,1350,0
328,1351,0
329,1352,0
330,1353,0
29665,1354,96
331,1355,0
332,1356,0
333,1357,0
334,1358,0
335,1359,0
336,1360,0
337,1361,0
338,1362,0
339,1363,0
340,1364,0
29666,1365,96
341,1366,0
342,1367,0
343,1368,0
344,1369,0
29667,1370,96
345,1371,0
346,1372,0
347,1373,0
348,1374,0
349,1375,0
350,1376,0
351,1377,0
352,1378,0
353,1379,0
354,1380,0
355,1381,0
356,1382,0
357,1383,0
358,1384,0
359,1385,0
360,1386,0
361,1387,0
362,1388,0
29668,1389,96
363,1390,0
29669,1391,96
29670,1392,96
364,1393,0
365,1394,0
366,1395,0
367,1396,0
368,1397,0
369,1398,0
370,1399,0
371,1400,0
372,1401,0
373,1402,0
374,1403,0
375,1404,0
29671,1405,96
376,1406,0
29672,1407,96
377,1408,0
378,1409,0
379,1410,0
380,1411,0
381,1412,0
382,1413,0
383,1414,0
384,1415,0
29673,1416,96
385,1417,0
386,1418,0
387,1419,0
388,1420,0
29674,1421,96
389,1422,0
29675,1423,96
390,1424,0
391,1425,0
392,1426,0
393,1427,0
394,1428,0
395,1429,0
396,1430,0
29676,1431,96
29677,1432,96
397,1433,0
398,1434,0
399,1435,0
29678,1436,96
400,1437,0
29679,1438,96
29680,1439,96
29681,1440,96
29682,1441,96
29683,1442,96
29684,1443,96
29685,1444,96
29686,1445,96
29687,1446,96
29688,1447,96
29689,1448,96
29690,1449,96
29691,1450,96
29692,1451,96
29693,1452,96
401,1453,0
29694,1454,96
29695,1455,96
402,1456,0
403,1457,0
404,1458,0
29696,1459,96
405,1460,0
29697,1461,96
406,1462,0
29698,1463,96
407,1464,0
408,1465,0
29699,1466,96
29700,1467,96
29701,1468,96
29702,1469,96
409,1470,0
29703,1471,96
29704,1472,96
410,1473,0
29705,1474,96
411,1475,0
412,1476,0
29706,1477,96
29707,1478,96
29708,1479,96
29709,1480,96
413,1481,0
29710,1482,96
29711,1483,96
29712,1484,96
29713,1485,96
29714,1486,96
414,1487,0
29715,1488,96
29716,1489,96
415,1490,0
29717,1491,96
416,1492,0
29718,1493,96
417,1494,0
29719,1495,96
29720,1496,96
29721,1497,96
29722,1498,96
29723,1499,96
418,1500,0
29724,1501,96
419,1502,0
29725,1503,96
420,1504,0
29726,1505,96
421,1506,0
29727,1507,96
422,1508,0
423,1509,0
424,1510,0
29728,1511,96
29729,1512,96
29730,1513,96
29731,1514,96
29732,1515,96
29733,1516,96
425,1517,0
29734,1518,96
29735,1519,96
426,1520,0
427,1521,0
29736,1522,96
428,1523,0
29737,1524,96
429,1525,0
29738,1526,96
430,1527,0
29739,1528,96
29740,1529,96
431,1530,0
432,1531,0
29741,1532,96
29742,1533,96
29743,1534,96
29744,1535,96
29745,1536,96
29746,1537,96
29747,1538,96
29748,1539,96
29749,1540,96
29750,1541,96
29751,1542,96
29752,1543,96
29753,1544,96
29754,1545,96
29755,1546,96
29756,1547,96
29757,1548,96
29758,1549,96
29759,1550,96
29760,1551,96
29761,1552,96
29762,1553,96
29763,1554,96
29764,1555,96
29765,1556,96
29766,1557,96
29767,1558,96
433,1559,0
434,1560,0
435,1561,0
436,1562,0
437,1563,0
438,1564,0
439,1565,0
440,1566,0
441,1567,0
442,1568,0
443,1569,0
444,1570,0
445,1571,0
446,1572,0
447,1573,0
448,1574,0
449,1575,0
450,1576,0
451,1577,0
452,1578,0
453,1579,0
454,1580,0
455,1581,0
456,1582,0
457,1583,0
458,1584,0
459,1585,0
460,1586,0
461,1587,0
462,1588,0
463,1589,0
464,1590,0
465,1591,0
466,1592,0
467,1593,0
468,1594,0
469,1595,0
470,1596,0
471,1597,0
472,1598,0
473,1599,0
474,1600,0
475,1601,0
476,1602,0
477,1603,0
478,1604,0
479,1605,0
480,1606,0
481,1607,0
482,1608,0
483,1609,0
484,1610,0
485,1611,0
486,1612,0
487,1613,0
488,1614,0
489,1615,0
490,1616,0
491,1617,0
492,1618,0
493,1619,0
494,1620,0
495,1621,0
496,1622,0
497,1623,0
498,1624,0
499,1625,0
500,1626,0
501,1627,0
502,1628,0
503,1629,0
504,1630,0
505,1631,0
506,1632,0
507,1633,0
508,1634,0
509,1635,0
510,1636,0
511,1637,0
512,1638,0
513,1639,0
514,1640,0
515,1641,0
516,1642,0
517,1643,0
518,1644,0
519,1645,0
520,1646,0
521,1647,0
522,1648,0
523,1649,0
524,1650,0
525,1651,0
526,1652,0
527,1653,0
528,1654,0
529,1655,0
530,1656,0
531,1657,0
532,1658,0
533,1659,0
534,1660,0
535,1661,0
536,1662,0
537,1663,0
538,1664,0
539,1665,0
540,1666,0
541,1667,0
542,1668,0
543,1669,0
544,1670,0
545,1671,0
546,1672,0
547,1673,0
548,1674,0
549,1675,0
550,1676,0
551,1677,0
552,1678,0
553,1679,0
554,1680,0
555,1681,0
556,1682,0
557,1683,0
558,1684,0
559,1685,0
560,1686,0
561,1687,0
562,1688,0
563,1689,0
564,1690,0
565,1691,0
566,1692,0
567,1693,0
568,1694,0
569,1695,0
570,1696,0
571,1697,0
572,1698,0
573,1699,0
574,1700,0
575,1701,0
576,1702,0
577,1703,0
578,1704,0
579,1705,0
23648,1706,374
29768,1707,96
580,1708,0
581,1709,0
582,1710,0
583,1711,0
584,1712,0
585,1713,0
586,1714,0
587,1715,0
588,1716,0
589,1717,0
590,1718,0
591,1719,0
29769,1720,96
592,1721,0
593,1722,0
594,1723,0
595,1724,0
596,1725,0
597,1726,0
598,1727,0
599,1728,0
600,1729,0
601,1730,0
602,1731,0
603,1732,0
29770,1733,96
604,1734,0
605,1735,0
606,1736,0
607,1737,0
29771,1738,96
608,1739,0
609,1740,0
29772,1741,96
610,1742,0
29773,1743,96
29774,1744,96
611,1745,0
612,1746,0
613,1747,0
29775,1748,96
29776,1749,96
614,1750,0
615,1751,0
616,1752,0
617,1753,0
618,1754,0
619,1755,0
620,1756,0
621,1757,0
29777,1758,96
622,1759,0
623,1760,0
624,1761,0
625,1762,0
626,1763,0
627,1764,0
628,1765,0
29778,1766,96
29779,1767,96
629,1768,0
630,1769,0
631,1770,0
632,1771,0
633,1772,0
634,1773,0
635,1774,0
636,1775,0
637,1776,0
638,1777,0
29780,1778,96
639,1779,0
640,1780,0
641,1781,0
642,1782,0
643,1783,0
644,1784,0
645,1785,0
646,1786,0
647,1787,0
648,1788,0
649,1789,0
650,1790,0
651,1791,0
652,1792,0
653,1793,0
29781,1794,96
654,1795,0
655,1796,0
656,1797,0
657,1798,0
658,1799,0
659,1800,0
660,1801,0
661,1802,0
662,1803,0
663,1804,0
664,1805,0
665,1806,0
666,1807,0
667,1808,0
668,1809,0
669,1810,0
670,1811,0
671,1812,0
672,1813,0
673,1814,0
674,1815,0
675,1816,0
29782,1817,96
676,1818,0
677,1819,0
678,1820,0
679,1821,0
680,1822,0
681,1823,0
682,1824,0
29783,1825,96
683,1826,0
29784,1827,96
29785,1828,96
684,1829,0
685,1830,0
686,1831,0
29786,1832,96
687,1833,0
29787,1834,96
688,1835,0
689,1836,0
690,1837,0
691,1838,0
692,1839,0
29788,1840,96
29789,1841,96
29790,1842,96
29791,1843,96
29792,1844,96
29793,1845,96
29794,1846,96
29795,1847,96
29796,1848,96
693,1849,0
29797,1850,96
694,1851,0
695,1852,0
696,1853,0
697,1854,0
698,1855,0
29798,1856,96
29799,1857,96
29800,1858,96
29801,1859,96
29802,1860,96
29803,1861,96
29804,1862,96
29805,1863,96
29806,1864,96
29807,1865,96
29808,1866,96
29809,1867,96
29810,1868,96
29811,1869,96
29812,1870,96
29813,1871,96
29814,1872,96
29815,1873,96
29816,1874,96
29817,1875,96
29818,1876,96
29819,1877,96
29820,1878,96
29821,1879,96
29822,1880,96
699,1881,0
700,1882,0
29823,1883,96
29824,1884,96
29825,1885,96
29826,1886,96
29827,1887,96
29828,1888,96
29829,1889,96
29830,1890,96
29831,1891,96
701,1892,0
702,1893,0
703,1894,0
704,1895,0
705,1896,0
706,1897,0
707,1898,0
708,1899,0
709,1900,0
710,1901,0
711,1902,0
712,1903,0
713,1904,0
714,1905,0
715,1906,0
716,1907,0
717,1908,0
29832,1909,96
718,1910,0
719,1911,0
720,1912,0
721,1913,0
722,1914,0
29833,1915,96
29834,1916,96
723,1917,0
29835,1918,96
724,1919,0
725,1920,0
726,1921,0
29836,1922,96
727,1923,0
29837,1924,96
728,1925,0
29838,1926,96
29839,1927,96
29840,1928,96
729,1929,0
29841,1930,96
730,1931,0
731,1932,0
732,1933,0
733,1934,0
734,1935,0
735,1936,0
29842,1937,96
736,1938,0
737,1939,0
29843,1940,96
29844,1941,96
738,1942,0
739,1943,0
29845,1944,96
740,1945,0
741,1946,0
29846,1947,96
29847,1948,96
742,1949,0
29848,1950,96
29849,1951,96
29850,1952,96
29851,1953,96
743,1954,0
29852,1955,96
744,1956,0
745,1957,0
746,1958,0
747,1959,0
748,1960,0
749,1961,0
750,1962,0
751,1963,0
752,1964,0
753,1965,0
754,1966,0
